simulation_time,latitude,longitude,altitude,speed,battery,heading,target_heading,heading_difference,flight_state,flight_mode,current_waypoint,distance_to_waypoint
1.0,50.2085,-5.487391891891892,155,12.0,99.92,90,78.69006752597848,-11.309932474021537,CLIMBING,TURNING,0,848.9867490131342
2.0,50.2085,-5.487283783783783,160,12.0,99.84,90,78.52901164795705,-11.470988352042951,CLIMBING,TURNING,0,837.2230885492038
3.0,50.2085,-5.487175675675675,165,12.0,99.76,90,78.36336669312392,-11.636633306876092,CLIMBING,TURNING,0,825.466231895555
4.0,50.2085,-5.487067567567567,170,12.0,99.68,90,78.19293657839941,-11.807063421600589,CLIMBING,TURNING,0,813.7164739636437
5.0,50.20851877277597,-5.486961101864538,175,12.0,99.60000000000001,80,78.01751406507819,-11.982485934921812,CLIMBING,TURNING,0,801.9741267645763
6.0,50.208546898005046,-5.4868289259354235,180,15.0,99.55000000000001,77.98740565357414,77.98740565357414,-2.012594346425857,CRUISE,TURNING,0,789.9814184574042
7.0,50.208575023234125,-5.486696750006309,180,15.0,99.50000000000001,77.98740565359265,77.98740565359265,1.850253283919301e-11,CRUISE,STRAIGHT,0,774.9814184573745
8.0,50.208603148463204,-5.486564574077194,180,15.0,99.45000000000002,77.98740565361184,77.98740565361184,1.921307557495311e-11,CRUISE,STRAIGHT,0,759.9814184573448
9.0,50.20863127369228,-5.48643239814808,180,15.0,99.40000000000002,77.98740565363185,77.98740565363185,2.000888343900442e-11,CRUISE,STRAIGHT,0,744.9814184573152
10.0,50.20865939892136,-5.486300222218965,180,15.0,99.35000000000002,77.98740565365266,77.98740565365266,2.0804691303055733e-11,CRUISE,STRAIGHT,0,729.9814184572856
11.0,50.20868752415044,-5.48616804628985,180,15.0,99.30000000000003,77.98740565367436,77.98740565367436,2.1714186004828662e-11,CRUISE,STRAIGHT,0,714.9814184572559
12.0,50.20871564937952,-5.486035870360736,180,15.0,99.25000000000003,77.98740565369698,77.98740565369698,2.262368070660159e-11,CRUISE,STRAIGHT,0,699.9814184572263
13.0,50.2087437746086,-5.485903694431621,180,15.0,99.20000000000003,77.98740565372059,77.98740565372059,2.3590018827235326e-11,CRUISE,STRAIGHT,0,684.9814184571966
14.0,50.20877189983768,-5.485771518502506,180,15.0,99.15000000000003,77.98740565374526,77.98740565374526,2.467004378559068e-11,CRUISE,STRAIGHT,0,669.9814184571669
15.0,50.20880002506676,-5.485639342573392,180,15.0,99.10000000000004,77.98740565377105,77.98740565377105,2.580691216280684e-11,CRUISE,STRAIGHT,0,654.9814184571372
16.0,50.20882815029584,-5.485507166644277,180,15.0,99.05000000000004,77.98740565379805,77.98740565379805,2.7000623958883807e-11,CRUISE,STRAIGHT,0,639.9814184571077
17.0,50.208856275524916,-5.4853749907151625,180,15.0,99.00000000000004,77.98740565382636,77.98740565382636,2.830802259268239e-11,CRUISE,STRAIGHT,0,624.981418457078
18.0,50.208884400753995,-5.485242814786048,180,15.0,98.95000000000005,77.98740565385606,77.98740565385606,2.970068635477219e-11,CRUISE,STRAIGHT,0,609.9814184570483
19.0,50.208912525983074,-5.485110638856933,180,15.0,98.90000000000005,77.98740565388725,77.98740565388725,3.12070369545836e-11,CRUISE,STRAIGHT,0,594.9814184570187
20.0,50.20894065121215,-5.484978462927819,180,15.0,98.85000000000005,77.98740565392005,77.98740565392005,3.2798652682686225e-11,CRUISE,STRAIGHT,0,579.981418456989
21.0,50.20896877644123,-5.484846286998704,180,15.0,98.80000000000005,77.9874056539546,77.9874056539546,3.456079866737127e-11,CRUISE,STRAIGHT,0,564.9814184569593
22.0,50.20899690167031,-5.484714111069589,180,15.0,98.75000000000006,77.98740565399102,77.98740565399102,3.643663148977794e-11,CRUISE,STRAIGHT,0,549.9814184569298
23.0,50.20902502689939,-5.484581935140475,180,15.0,98.70000000000006,77.9874056540295,77.9874056540295,3.8482994568767026e-11,CRUISE,STRAIGHT,0,534.9814184569001
24.0,50.20905315212847,-5.484449759211359,180,15.0,98.65000000000006,77.9874056540702,77.9874056540702,4.069988790433854e-11,CRUISE,STRAIGHT,0,519.9814184568704
25.0,50.20908127735755,-5.484317583282244,180,15.0,98.60000000000007,77.98740565411099,77.98740565411099,4.078515303262975e-11,CRUISE,STRAIGHT,0,504.98141845674434
26.0,50.20910940258662,-5.484185407353128,180,15.0,98.55000000000007,77.98740565415426,77.98740565415426,4.32578417530749e-11,CRUISE,STRAIGHT,0,489.9814184566183
27.0,50.2091375278157,-5.484053231424013,180,15.0,98.50000000000007,77.98740565410722,77.98740565410722,-4.703792910731863e-11,CRUISE,STRAIGHT,0,474.98141845665634
28.0,50.20916565304477,-5.483921055494897,180,15.0,98.45000000000007,77.98740565415319,77.98740565415319,4.5986325858393684e-11,CRUISE,STRAIGHT,0,459.98141845653026
29.0,50.20919377827385,-5.483788879565782,180,15.0,98.40000000000008,77.98740565410296,77.98740565410296,-5.0249582272954285e-11,CRUISE,STRAIGHT,0,444.9814184565683
30.0,50.20922190350292,-5.483656703636666,180,15.0,98.35000000000008,77.987405654152,77.987405654152,4.905587047687732e-11,CRUISE,STRAIGHT,0,429.98141845644227
31.0,50.209250028732,-5.483524527707551,180,15.0,98.30000000000008,77.98740565409807,77.98740565409807,-5.3944404498906806e-11,CRUISE,STRAIGHT,0,414.9814184564803
32.0,50.20927815396107,-5.483392351778435,180,15.0,98.25000000000009,77.9874056541506,77.9874056541506,5.2523319027386606e-11,CRUISE,STRAIGHT,0,399.9814184563542
33.0,50.20930627919015,-5.48326017584932,180,15.0,98.20000000000009,77.98740565409243,77.98740565409243,-5.8179239204037e-11,CRUISE,STRAIGHT,0,384.9814184563923
34.0,50.209334404419224,-5.483127999920204,180,15.0,98.15000000000009,77.98740565414899,77.98740565414899,5.6559201766503975e-11,CRUISE,STRAIGHT,0,369.9814184562662
35.0,50.2093625296483,-5.4829958239910885,180,15.0,98.1000000000001,77.98740565408582,77.98740565408582,-6.31530383543577e-11,CRUISE,STRAIGHT,0,354.98141845630425
36.0,50.209390654877375,-5.482863648061973,180,15.0,98.0500000000001,77.98740565414708,77.98740565414708,6.127720553195104e-11,CRUISE,STRAIGHT,0,339.98141845617823
37.0,50.20941878010645,-5.4827314721328575,180,15.0,98.0000000000001,77.987405654078,77.987405654078,-6.906475391588174e-11,CRUISE,STRAIGHT,0,324.98141845621626
38.0,50.209446905335525,-5.482599296203742,180,15.0,97.9500000000001,77.98740565414482,77.98740565414482,6.681943887087982e-11,CRUISE,STRAIGHT,0,309.98141845609024
39.0,50.209475030564604,-5.4824671202746265,180,15.0,97.9000000000001,77.9874056540686,77.9874056540686,-7.622702469234355e-11,CRUISE,STRAIGHT,0,294.98141845612827
40.0,50.209503155793676,-5.482334944345511,180,15.0,97.85000000000011,77.98740565414207,77.98740565414207,7.347011887759436e-11,CRUISE,STRAIGHT,0,279.9814184560022
41.0,50.209531281022755,-5.482202768416395,180,15.0,97.80000000000011,77.98740565405706,77.98740565405706,-8.500933290633839e-11,CRUISE,STRAIGHT,0,264.9814184560403
42.0,50.20955940625183,-5.48207059248728,180,15.0,97.75000000000011,77.98740565413866,77.98740565413866,8.15987277746899e-11,CRUISE,STRAIGHT,0,249.98141845591417
43.0,50.209587531480906,-5.481938416558165,180,15.0,97.70000000000012,77.98740565404256,77.98740565404256,-9.609379958419595e-11,CRUISE,STRAIGHT,0,234.98141845595225
44.0,50.20961565670998,-5.48180624062905,180,15.0,97.65000000000012,77.98740565413965,77.98740565413965,9.708855941426009e-11,CRUISE,STRAIGHT,0,219.98141845592258
45.0,50.20964378193906,-5.481674064699935,180,15.0,97.60000000000012,77.98740565402957,77.98740565402957,-1.1007728062395472e-10,CRUISE,STRAIGHT,0,204.98141845596066
46.0,50.20967190716813,-5.48154188877082,180,15.0,97.55000000000013,77.98740565414097,77.98740565414097,1.1141310096718371e-10,CRUISE,STRAIGHT,0,189.98141845593102
47.0,50.20970003239721,-5.481409712841705,180,15.0,97.50000000000013,77.98740565401214,77.98740565401214,-1.2883560884802137e-10,CRUISE,STRAIGHT,0,174.98141845596908
48.0,50.20972815762628,-5.4812775369125895,180,15.0,97.45000000000013,77.98740565414276,77.98740565414276,1.3062617654213682e-10,CRUISE,STRAIGHT,0,159.98141845593943
49.0,50.20975628285536,-5.481145360983475,180,15.0,97.40000000000013,77.98740565398747,77.98740565398747,-1.552962203277275e-10,CRUISE,STRAIGHT,0,144.98141845597752
50.0,50.20978440808443,-5.481013185054359,180,15.0,97.35000000000014,77.9874056541454,77.9874056541454,1.5793943930475507e-10,CRUISE,STRAIGHT,0,129.98141845594785
51.0,50.20981253331351,-5.480881009125245,180,15.0,97.30000000000014,77.98740565394993,77.98740565394993,-1.9548451746231876e-10,CRUISE,STRAIGHT,0,114.98141845598592
52.0,50.20984065854258,-5.480748833196129,180,15.0,97.25000000000014,77.98740565414963,77.98740565414963,1.9969093045801856e-10,CRUISE,STRAIGHT,0,99.98141845595626
53.0,50.20986878377166,-5.4806166572670145,180,15.0,97.20000000000014,77.98740565388589,77.98740565388589,-2.637534635141492e-10,CRUISE,STRAIGHT,0,84.98141845599433
54.0,50.20989690900073,-5.480484481337899,180,15.0,97.15000000000015,77.98740565415748,77.98740565415748,2.715978553169407e-10,CRUISE,STRAIGHT,0,69.98141845596469
